sample,contig,plasmid_score,chrom_score,label
bant-SAMN10984861,1,6.8878676e-06,0.99999475,chromosome
bant-SAMN10984861,2,4.488576e-06,0.99999666,chromosome
bant-SAMN10984861,3,7.7306715e-05,0.9999387,chromosome
bant-SAMN10984861,4,0.00016775013,0.9998498,chromosome
bant-SAMN10984861,5,0.024886696,0.9806311,chromosome
bant-SAMN10984861,6,0.017006047,0.98767126,chromosome
bant-SAMN10984861,7,0.0037806595,0.99711263,chromosome
bant-SAMN10984861,8,0.0019413882,0.9984652,chromosome
bant-SAMN10984861,9,0.005857589,0.9947466,chromosome
bant-SAMN10984861,10,0.010822215,0.9916551,chromosome
bant-SAMN10984861,11,0.99846727,0.0019110115,plasmid
bant-SAMN10984861,12,0.9985468,0.0018305837,plasmid
bant-SAMN10984861,13,0.011297114,0.9908075,chromosome
bant-SAMN10984861,14,0.031283386,0.97755563,chromosome
bant-SAMN10984861,15,0.016999144,0.9861756,chromosome
bant-SAMN10984861,16,0.99934524,0.0008943202,plasmid
bant-SAMN10984861,17,0.00056738604,0.9994276,chromosome
bant-SAMN10984861,18,0.014470805,0.9861479,chromosome
bant-SAMN10984861,19,0.2747608,0.7474926,chromosome
bant-SAMN10984861,20,0.055501178,0.95112944,chromosome
bant-SAMN10984861,21,0.024307149,0.9793189,chromosome
bant-SAMN10984861,22,0.02596788,0.978458,chromosome
bant-SAMN10984861,23,0.99999976,3.7286885e-05,plasmid
bant-SAMN10984861,24,0.027132435,0.97782,chromosome
bant-SAMN10984861,25,0.99834275,0.0024553067,plasmid
bant-SAMN10984861,26,0.037863813,0.96155006,chromosome
bant-SAMN10984861,27,0.027004238,0.9775709,chromosome
bant-SAMN10984861,28,0.03506108,0.9987501,chromosome
bant-SAMN10984861,29,0.066465504,0.9961534,chromosome
bant-SAMN10984861,30,0.00037780282,0.9996068,chromosome
bant-SAMN10984861,31,0.98831975,0.22309539,plasmid
bant-SAMN10984861,32,0.006667152,0.9979329,chromosome
bant-SAMN10984861,33,0.06836121,0.99819046,chromosome
bant-SAMN10984861,34,0.9817492,0.3201752,plasmid
bant-SAMN10984861,35,0.034802034,0.99274653,chromosome
bant-SAMN10984861,36,0.00040286468,0.99956673,chromosome
bant-SAMN10984861,37,0.0054233796,0.9944338,chromosome
bant-SAMN10984861,38,0.0048308675,0.998626,chromosome
bant-SAMN10984861,39,0.05542227,0.99838114,chromosome
bant-SAMN10984861,40,0.0017191587,0.99828315,chromosome
bant-SAMN10984861,41,0.0023035642,0.9975157,chromosome
bant-SAMN10984861,42,0.0004289514,0.9997819,chromosome
bant-SAMN10984861,43,0.0004080081,0.9996118,chromosome
bant-SAMN10984861,44,0.00067099766,0.9993463,chromosome
