sample,contig,plasmid_score,chrom_score,label
yent-SAMEA7965450,1,0.004678935,0.9957698,chromosome
yent-SAMEA7965450,2,0.012762228,0.98681635,chromosome
yent-SAMEA7965450,3,0.0040604076,0.99626994,chromosome
yent-SAMEA7965450,4,0.0014031357,0.99889576,chromosome
yent-SAMEA7965450,5,0.02257142,0.97584116,chromosome
yent-SAMEA7965450,6,0.024247048,0.97406363,chromosome
yent-SAMEA7965450,7,0.014886611,0.98510134,chromosome
yent-SAMEA7965450,8,0.028148834,0.9696474,chromosome
yent-SAMEA7965450,9,0.0237804,0.9747082,chromosome
yent-SAMEA7965450,10,0.003955892,0.9963523,chromosome
yent-SAMEA7965450,11,0.014922532,0.9845712,chromosome
yent-SAMEA7965450,12,0.027104707,0.9703683,chromosome
yent-SAMEA7965450,13,0.0125629725,0.98703754,chromosome
yent-SAMEA7965450,14,0.005246145,0.99513763,chromosome
yent-SAMEA7965450,15,0.016160687,0.983217,chromosome
yent-SAMEA7965450,16,0.02219047,0.9768982,chromosome
yent-SAMEA7965450,17,0.024400678,0.9733069,chromosome
yent-SAMEA7965450,18,0.038276564,0.9611889,chromosome
yent-SAMEA7965450,19,0.022696646,0.97627276,chromosome
yent-SAMEA7965450,20,0.027501313,0.9701892,chromosome
yent-SAMEA7965450,21,0.028926494,0.96884346,chromosome
yent-SAMEA7965450,22,0.02078426,0.9775364,chromosome
yent-SAMEA7965450,23,0.025188195,0.9736546,chromosome
yent-SAMEA7965450,24,0.015945168,0.98307806,chromosome
yent-SAMEA7965450,25,0.029922089,0.9676115,chromosome
yent-SAMEA7965450,26,0.036658417,0.9582328,chromosome
yent-SAMEA7965450,27,0.026998717,0.9719534,chromosome
yent-SAMEA7965450,28,0.030022984,0.9668734,chromosome
yent-SAMEA7965450,29,0.035405904,0.9601746,chromosome
yent-SAMEA7965450,30,0.043143447,0.9507904,chromosome
yent-SAMEA7965450,31,0.04979682,0.9434919,chromosome
yent-SAMEA7965450,32,0.031864062,0.96485823,chromosome
yent-SAMEA7965450,33,0.0037941348,0.9967013,chromosome
yent-SAMEA7965450,34,0.03719235,0.9595372,chromosome
yent-SAMEA7965450,35,0.028167326,0.9692526,chromosome
yent-SAMEA7965450,36,0.0034096097,0.9969559,chromosome
yent-SAMEA7965450,37,0.03710724,0.958442,chromosome
yent-SAMEA7965450,38,0.03792744,0.960153,chromosome
yent-SAMEA7965450,39,0.017810479,0.9816445,chromosome
yent-SAMEA7965450,40,0.056320593,0.9389962,chromosome
yent-SAMEA7965450,41,0.012660626,0.98719007,chromosome
yent-SAMEA7965450,42,0.069687255,0.9221025,chromosome
yent-SAMEA7965450,43,0.023351483,0.9759723,chromosome
yent-SAMEA7965450,44,0.9969414,0.004141458,plasmid
yent-SAMEA7965450,45,0.03126507,0.96387225,chromosome
yent-SAMEA7965450,46,0.04437421,0.95130473,chromosome
yent-SAMEA7965450,47,0.048239753,0.9428602,chromosome
yent-SAMEA7965450,48,0.0342077,0.9630097,chromosome
yent-SAMEA7965450,49,0.0061293803,0.99479586,chromosome
yent-SAMEA7965450,50,0.037733477,0.95653075,chromosome
yent-SAMEA7965450,51,0.048382804,0.944971,chromosome
yent-SAMEA7965450,52,0.07406696,0.91765094,chromosome
yent-SAMEA7965450,53,0.26812574,0.7118722,chromosome
yent-SAMEA7965450,54,0.048857257,0.9430807,chromosome
yent-SAMEA7965450,55,0.0709839,0.91606593,chromosome
yent-SAMEA7965450,56,0.038542762,0.9557588,chromosome
yent-SAMEA7965450,57,0.06256945,0.9310528,chromosome
yent-SAMEA7965450,58,0.060081486,0.9344714,chromosome
yent-SAMEA7965450,59,0.10686816,0.8869458,chromosome
yent-SAMEA7965450,60,0.063555285,0.928118,chromosome
yent-SAMEA7965450,61,0.0003179477,0.99971884,chromosome
yent-SAMEA7965450,62,0.061160073,0.9306915,chromosome
yent-SAMEA7965450,63,0.09766294,0.8893185,chromosome
yent-SAMEA7965450,64,0.044494305,0.9485614,chromosome
yent-SAMEA7965450,65,0.06809943,0.92028403,chromosome
yent-SAMEA7965450,66,0.0996692,0.8757385,chromosome
yent-SAMEA7965450,67,0.076852225,0.9073567,chromosome
yent-SAMEA7965450,68,0.065772235,0.9198734,chromosome
yent-SAMEA7965450,69,0.23102044,0.74136394,chromosome
yent-SAMEA7965450,70,0.1847556,0.7877145,chromosome
yent-SAMEA7965450,71,0.069272354,0.91730446,chromosome
yent-SAMEA7965450,72,0.078279465,0.90457034,chromosome
yent-SAMEA7965450,73,0.1237575,0.85146195,chromosome
yent-SAMEA7965450,74,0.098262414,0.88018614,chromosome
yent-SAMEA7965450,75,0.15721811,0.8146322,chromosome
yent-SAMEA7965450,76,0.12639429,0.8510859,chromosome
yent-SAMEA7965450,77,0.9962715,0.004916269,plasmid
yent-SAMEA7965450,78,0.12764879,0.8454561,chromosome
yent-SAMEA7965450,79,0.028264375,0.96988666,chromosome
yent-SAMEA7965450,80,0.09349992,0.89677536,chromosome
yent-SAMEA7965450,81,0.11957829,0.8686861,chromosome
yent-SAMEA7965450,82,0.982356,0.016244944,plasmid
yent-SAMEA7965450,83,0.20933346,0.75783503,chromosome
yent-SAMEA7965450,84,0.11282928,0.88209856,chromosome
yent-SAMEA7965450,85,0.26547626,0.69301784,chromosome
yent-SAMEA7965450,86,0.1169934,0.8618272,chromosome
yent-SAMEA7965450,87,0.06518603,0.9217173,chromosome
yent-SAMEA7965450,88,0.3739786,0.59321064,chromosome
yent-SAMEA7965450,89,0.14022781,0.85434157,chromosome
yent-SAMEA7965450,90,0.19821748,0.7637227,chromosome
