sample,contig,plasmid_score,chrom_score,label
pdams-SAMN16091815,1,0.009847597,0.9904827,chromosome
pdams-SAMN16091815,2,0.012616001,0.9876846,chromosome
pdams-SAMN16091815,3,0.054865215,0.94821286,chromosome
pdams-SAMN16091815,4,0.007838333,0.9919918,chromosome
pdams-SAMN16091815,5,0.134035,0.87836,chromosome
pdams-SAMN16091815,6,0.076240025,0.92620736,chromosome
pdams-SAMN16091815,7,0.014799626,0.98451257,chromosome
pdams-SAMN16091815,8,0.05393079,0.94672185,chromosome
pdams-SAMN16091815,9,0.07067694,0.9305194,chromosome
pdams-SAMN16091815,10,0.0120357415,0.9873405,chromosome
pdams-SAMN16091815,11,0.013678286,0.9855731,chromosome
pdams-SAMN16091815,12,0.07361595,0.92773616,chromosome
pdams-SAMN16091815,13,0.048839953,0.95041865,chromosome
pdams-SAMN16091815,14,0.19257934,0.8209943,chromosome
pdams-SAMN16091815,15,0.032311194,0.96595687,chromosome
pdams-SAMN16091815,16,0.16021518,0.8490313,chromosome
pdams-SAMN16091815,17,0.022355217,0.9762708,chromosome
pdams-SAMN16091815,18,0.016104098,0.9827473,chromosome
pdams-SAMN16091815,19,0.03591153,0.9621521,chromosome
pdams-SAMN16091815,20,0.007315143,0.9921226,chromosome
pdams-SAMN16091815,21,0.017197458,0.98149294,chromosome
pdams-SAMN16091815,22,0.04750305,0.95042425,chromosome
pdams-SAMN16091815,23,0.021474633,0.97689646,chromosome
pdams-SAMN16091815,24,0.18786684,0.82190394,chromosome
pdams-SAMN16091815,25,0.20235257,0.8059981,chromosome
pdams-SAMN16091815,26,0.009658706,0.9896096,chromosome
pdams-SAMN16091815,27,0.07910035,0.9191343,chromosome
pdams-SAMN16091815,28,0.023453811,0.9747764,chromosome
pdams-SAMN16091815,29,0.0089538125,0.9902901,chromosome
pdams-SAMN16091815,30,0.014288608,0.9845221,chromosome
pdams-SAMN16091815,31,0.0100402,0.9891433,chromosome
pdams-SAMN16091815,32,0.20870903,0.8013495,chromosome
pdams-SAMN16091815,33,0.022013254,0.9761965,chromosome
pdams-SAMN16091815,34,0.0067759776,0.99287695,chromosome
pdams-SAMN16091815,35,0.009187867,0.98998684,chromosome
pdams-SAMN16091815,36,0.0103479205,0.98878574,chromosome
pdams-SAMN16091815,37,0.011517211,0.9874765,chromosome
pdams-SAMN16091815,38,0.023672106,0.9743264,chromosome
pdams-SAMN16091815,39,0.008478057,0.99075294,chromosome
pdams-SAMN16091815,40,0.009223412,0.989884,chromosome
pdams-SAMN16091815,41,0.036250215,0.960667,chromosome
pdams-SAMN16091815,42,0.013184266,0.98542345,chromosome
pdams-SAMN16091815,43,0.019095803,0.9791797,chromosome
pdams-SAMN16091815,44,0.22115451,0.7864745,chromosome
pdams-SAMN16091815,45,0.036034476,0.96072537,chromosome
pdams-SAMN16091815,46,0.031604506,0.96567106,chromosome
pdams-SAMN16091815,47,0.021759683,0.9762442,chromosome
pdams-SAMN16091815,48,0.014519685,0.9840403,chromosome
pdams-SAMN16091815,49,0.018343827,0.9798253,chromosome
pdams-SAMN16091815,50,0.023714658,0.9739422,chromosome
pdams-SAMN16091815,51,0.022356698,0.97539276,chromosome
pdams-SAMN16091815,52,0.011770413,0.9869403,chromosome
pdams-SAMN16091815,53,0.24635059,0.75542945,chromosome
pdams-SAMN16091815,54,0.026915563,0.97026867,chromosome
pdams-SAMN16091815,55,0.11295689,0.884639,chromosome
pdams-SAMN16091815,56,0.18966448,0.8151659,chromosome
pdams-SAMN16091815,57,0.18489714,0.81767803,chromosome
pdams-SAMN16091815,58,0.009848782,0.9890442,chromosome
pdams-SAMN16091815,59,0.011756561,0.9867344,chromosome
pdams-SAMN16091815,60,0.045310028,0.949687,chromosome
pdams-SAMN16091815,61,0.01267185,0.9857869,chromosome
pdams-SAMN16091815,62,0.068191014,0.92618096,chromosome
pdams-SAMN16091815,63,0.04905891,0.94545585,chromosome
pdams-SAMN16091815,64,0.023829792,0.97335625,chromosome
pdams-SAMN16091815,65,0.09441783,0.8998441,chromosome
pdams-SAMN16091815,66,0.11461899,0.8785126,chromosome
pdams-SAMN16091815,67,0.019590123,0.97802657,chromosome
pdams-SAMN16091815,68,0.036449444,0.9592572,chromosome
pdams-SAMN16091815,69,0.029683197,0.96917033,chromosome
pdams-SAMN16091815,70,0.26901653,0.7293384,chromosome
pdams-SAMN16091815,71,0.20325218,0.7987371,chromosome
pdams-SAMN16091815,72,0.015080764,0.982988,chromosome
pdams-SAMN16091815,73,0.029212764,0.9673961,chromosome
pdams-SAMN16091815,74,0.23111145,0.7693818,chromosome
pdams-SAMN16091815,75,0.24922943,0.75021195,chromosome
pdams-SAMN16091815,76,0.021074658,0.9761111,chromosome
pdams-SAMN16091815,77,0.012429503,0.9859364,chromosome
pdams-SAMN16091815,78,0.018317826,0.9793464,chromosome
pdams-SAMN16091815,79,0.022871407,0.9743062,chromosome
pdams-SAMN16091815,80,0.019942954,0.9773361,chromosome
pdams-SAMN16091815,81,0.021573504,0.9755636,chromosome
pdams-SAMN16091815,82,0.08580422,0.90406454,chromosome
pdams-SAMN16091815,83,0.015181134,0.9828052,chromosome
pdams-SAMN16091815,84,0.03773737,0.9577448,chromosome
pdams-SAMN16091815,85,0.010293308,0.9885838,chromosome
pdams-SAMN16091815,86,0.023707129,0.97325134,chromosome
pdams-SAMN16091815,87,0.024891019,0.97176725,chromosome
pdams-SAMN16091815,88,0.005768289,0.99413425,chromosome
pdams-SAMN16091815,89,0.014902373,0.9831124,chromosome
pdams-SAMN16091815,90,0.028242128,0.9677996,chromosome
pdams-SAMN16091815,91,0.19661659,0.80210865,chromosome
pdams-SAMN16091815,92,0.022994233,0.97388285,chromosome
pdams-SAMN16091815,93,0.027725298,0.9686336,chromosome
pdams-SAMN16091815,94,0.14823961,0.8440675,chromosome
pdams-SAMN16091815,95,0.02902073,0.9672444,chromosome
