contig_name,plasmid_score,chromosome_score,predicted_label
188,0.53481126,0.92858434,Ambiguous
10,0.000107678454,0.9999274,Chromosome
14,0.009712121,0.99079555,Chromosome
74,0.2974207,0.7427137,Chromosome
1,1.6519445e-05,0.9999789,Chromosome
153,0.3188135,0.8951754,Chromosome
131,0.19603577,0.9609957,Chromosome
95,0.2420264,0.8056345,Chromosome
100,0.22744812,0.8268317,Chromosome
177,0.9999763,0.8657716,Ambiguous
57,0.19937155,0.8085834,Chromosome
19,0.008474221,0.9905681,Chromosome
168,0.42739952,0.7807547,Chromosome
142,0.28519025,0.77846146,Chromosome
87,0.385855,0.7103611,Chromosome
103,0.3262438,0.7150958,Chromosome
118,0.8836906,0.9984944,Ambiguous
61,0.65636003,0.34223214,Plasmid
66,0.21872765,0.7890298,Chromosome
150,0.30978084,0.9860476,Chromosome
172,0.0724969,0.9885895,Chromosome
166,0.06063233,0.99241006,Chromosome
146,0.45838326,0.9992748,Chromosome
115,0.062334202,0.96575147,Chromosome
41,0.0018686453,0.99872965,Chromosome
25,0.010984574,0.9878399,Chromosome
4,0.0005298392,0.9994216,Chromosome
36,0.019101974,0.98298484,Chromosome
43,0.24485354,0.7593475,Chromosome
84,0.09294389,0.9331207,Chromosome
101,0.36787397,0.9425466,Chromosome
134,0.19000566,0.97154343,Chromosome
161,0.16376542,0.95828396,Chromosome
184,0.9999459,0.8399946,Ambiguous
94,0.3703718,0.65095335,Chromosome
24,0.022300163,0.9721,Chromosome
18,0.3487724,0.61614984,Chromosome
38,0.11129603,0.86293596,Chromosome
58,0.09943368,0.8948534,Chromosome
64,0.15779857,0.8470966,Chromosome
65,0.24135314,0.78183615,Chromosome
99,0.4347622,0.63356227,Chromosome
152,0.19426802,0.8288529,Chromosome
15,0.006503533,0.9925607,Chromosome
154,0.09098542,0.98493814,Chromosome
120,0.070253894,0.95679843,Chromosome
127,0.061251376,0.962198,Chromosome
185,0.2797781,0.9019668,Chromosome
156,0.37829226,0.9894678,Chromosome
75,0.34248677,0.7013778,Chromosome
23,0.014662051,0.98275477,Chromosome
51,0.050833073,0.9438148,Chromosome
9,0.0012260823,0.9987658,Chromosome
80,0.28047845,0.7609631,Chromosome
82,0.7766558,0.35157174,Plasmid
77,0.9947496,0.016176594,Plasmid
159,0.37105525,0.9939003,Chromosome
123,0.98360634,0.13713264,Plasmid
55,0.10082082,0.8934766,Chromosome
143,0.09350435,0.9851592,Chromosome
132,0.3062653,0.91322875,Chromosome
138,0.28904787,0.84457284,Chromosome
157,0.2597101,0.9303817,Chromosome
141,0.23670603,0.9404396,Chromosome
112,0.6126216,0.98895836,Ambiguous
86,0.36669308,0.69549775,Chromosome
155,0.39450946,0.7252452,Chromosome
162,0.9810962,0.08734149,Plasmid
129,0.98860466,0.99819416,Ambiguous
148,0.99833435,0.018826757,Plasmid
44,0.98518616,0.037312582,Plasmid
169,0.84803927,0.98312515,Ambiguous
92,0.38702956,0.67563695,Chromosome
