sample,contig,plasmid_score,chrom_score,label
efae-E0139,Contig_10_120.595,0.0001101635,0.99989164,chromosome
efae-E0139,Contig_11_192.528,0.0005122435,0.9993181,chromosome
efae-E0139,Contig_12_168.94,0.00013087022,0.99986553,chromosome
efae-E0139,Contig_13_142.692,1.72774e-05,0.999985,chromosome
efae-E0139,Contig_14_1976.47,0.014298699,0.9990069,chromosome
efae-E0139,Contig_15_408.921,0.004228645,0.9987148,chromosome
efae-E0139,Contig_16_159.613,0.0017742013,0.9977549,chromosome
efae-E0139,Contig_17_183.974,0.001541766,0.9979955,chromosome
efae-E0139,Contig_18_123.513,4.97207e-05,0.9999503,chromosome
efae-E0139,Contig_19_122.134,0.0005963453,0.99934405,chromosome
efae-E0139,Contig_1_1660.22,0.030170653,0.9922724,chromosome
efae-E0139,Contig_20_115.506,0.00560152,0.9925599,chromosome
efae-E0139,Contig_21_160.677,0.0043260697,0.9945793,chromosome
efae-E0139,Contig_22_123.78,0.00047281434,0.99944276,chromosome
efae-E0139,Contig_23_992.772,0.04482918,0.99154013,chromosome
efae-E0139,Contig_24_125.987,0.00020711584,0.9997451,chromosome
efae-E0139,Contig_25_159.256,0.00036173227,0.99957186,chromosome
efae-E0139,Contig_26_143.084,0.00041920465,0.9995834,chromosome
efae-E0139,Contig_27_158.502,0.00031698644,0.9996475,chromosome
efae-E0139,Contig_28_147.689,0.0017122958,0.9980774,chromosome
efae-E0139,Contig_29_140.945,0.0073968465,0.9946702,chromosome
efae-E0139,Contig_2_155.385,0.00024317256,0.9997198,chromosome
efae-E0139,Contig_30_120.454,0.00015616928,0.9998276,chromosome
efae-E0139,Contig_31_151.391,5.6569203e-05,0.9999442,chromosome
efae-E0139,Contig_32_206.133,0.0008203635,0.9991359,chromosome
efae-E0139,Contig_33_129.019,0.00011407321,0.99988866,chromosome
efae-E0139,Contig_34_183.363,0.010576146,0.9876308,chromosome
efae-E0139,Contig_35_164.842,0.1611605,0.95066833,chromosome
efae-E0139,Contig_36_142.537,2.7012595e-05,0.99997604,chromosome
efae-E0139,Contig_37_137.941,0.00010972736,0.99988747,chromosome
efae-E0139,Contig_38_1137.72,0.008430283,0.9982242,chromosome
efae-E0139,Contig_39_215.363,0.11015958,0.84971195,chromosome
efae-E0139,Contig_3_400.627,0.01076566,0.9962806,chromosome
efae-E0139,Contig_40_158.977,0.00015990125,0.99983084,chromosome
efae-E0139,Contig_41_351.469,0.010594655,0.99386746,chromosome
efae-E0139,Contig_42_164.601,0.00028381083,0.99965286,chromosome
efae-E0139,Contig_43_350.904,0.00057262246,0.9994499,chromosome
efae-E0139,Contig_44_228.315,0.014070188,0.99240524,chromosome
efae-E0139,Contig_45_1934.41,0.008292723,0.9996184,chromosome
efae-E0139,Contig_46_162.062,0.00014902977,0.9998264,chromosome
efae-E0139,Contig_47_160.424,4.4088298e-05,0.9999528,chromosome
efae-E0139,Contig_48_159.537,0.000110317604,0.9998925,chromosome
efae-E0139,Contig_49_149.757,0.00047942242,0.9994677,chromosome
efae-E0139,Contig_4_150.576,8.154024e-05,0.9999163,chromosome
efae-E0139,Contig_50_163.857,0.0002491242,0.99973935,chromosome
efae-E0139,Contig_51_283.4,0.0004658714,0.9994916,chromosome
efae-E0139,Contig_52_128.726,0.0046444023,0.9939925,chromosome
efae-E0139,Contig_53_170.604,0.0036726904,0.99517435,chromosome
efae-E0139,Contig_54_149.515,0.0041101733,0.99503255,chromosome
efae-E0139,Contig_55_146.789,0.00030825194,0.9996562,chromosome
efae-E0139,Contig_56_2072.8,0.0073047103,0.9990324,chromosome
efae-E0139,Contig_57_152.384,0.013873541,0.98877025,chromosome
efae-E0139,Contig_58_160.452,0.0003336765,0.9996749,chromosome
efae-E0139,Contig_59_141.238,0.0011325544,0.99886996,chromosome
efae-E0139,Contig_5_669.324,0.01297946,0.9950375,chromosome
efae-E0139,Contig_60_180.484,0.0118433,0.98540145,chromosome
efae-E0139,Contig_61_173.472,0.015194,0.982103,chromosome
efae-E0139,Contig_62_127.232,0.000104999555,0.9998889,chromosome
efae-E0139,Contig_63_256.643,0.0005980367,0.99943835,chromosome
efae-E0139,Contig_64_117.528,0.00021752014,0.99975747,chromosome
efae-E0139,Contig_65_354.06,0.022077799,0.9837875,chromosome
efae-E0139,Contig_66_152.27,0.00015946441,0.99983585,chromosome
efae-E0139,Contig_67_1147.01,0.011802733,0.99718636,chromosome
efae-E0139,Contig_68_129.301,0.0006654901,0.99921966,chromosome
efae-E0139,Contig_69_164.895,0.00011147266,0.9998727,chromosome
efae-E0139,Contig_6_157.393,0.00012403443,0.99986553,chromosome
efae-E0139,Contig_70_185.797,0.0041715316,0.99652004,chromosome
efae-E0139,Contig_71_127.578,0.0005500514,0.9993387,chromosome
efae-E0139,Contig_72_137.274,0.000413153,0.99952865,chromosome
efae-E0139,Contig_73_168.698,0.00014568285,0.9998221,chromosome
efae-E0139,Contig_74_154.147,0.00011717337,0.9998764,chromosome
efae-E0139,Contig_75_156.471,0.000353581,0.9996113,chromosome
efae-E0139,Contig_76_141.723,0.00010959561,0.99988604,chromosome
efae-E0139,Contig_77_151.673,6.0350878e-05,0.9999356,chromosome
efae-E0139,Contig_7_1148.37,0.014965795,0.9969675,chromosome
efae-E0139,Contig_8_408.39,0.006087081,0.99747425,chromosome
efae-E0139,Contig_9_163.87,0.0052286307,0.99410325,chromosome
efae-E0139,Contig_10_120.595:3p:1:7,0.012390191,0.9976513,chromosome
efae-E0139,Contig_10_120.595:3p:1:8,0.0023748123,0.99939597,chromosome
efae-E0139,Contig_10_120.595:3p:1:9,0.010640436,0.99809116,chromosome
efae-E0139,Contig_10_120.595:3p:1:10,0.0038610757,0.9979752,chromosome
efae-E0139,Contig_10_120.595:3p:1:11,0.011475534,0.9906404,chromosome
efae-E0139,Contig_10_120.595:3p:1:12,0.012963362,0.9941672,chromosome
efae-E0139,Contig_10_120.595:3p:1:13,0.051955394,0.9763291,chromosome
efae-E0139,Contig_10_120.595:3p:1:14,0.015891917,0.99737656,chromosome
efae-E0139,Contig_10_120.595:3p:1:15,0.00958859,0.99602807,chromosome
efae-E0139,Contig_10_120.595:3p:1:16,0.002208843,0.9982734,chromosome
efae-E0139,Contig_10_120.595:3p:1:25,0.040197145,0.98535293,chromosome
efae-E0139,Contig_10_120.595:3p:1:31,0.019336851,0.98761684,chromosome
efae-E0139,Contig_10_120.595:3p:1:32,0.0043900516,0.9963349,chromosome
efae-E0139,Contig_10_120.595:3p:1:33,0.004130895,0.99546224,chromosome
efae-E0139,Contig_10_120.595:3p:1:34,0.0017011644,0.99930596,chromosome
efae-E0139,Contig_10_120.595:3p:1:35,0.012618959,0.9994697,chromosome
efae-E0139,Contig_10_120.595:3p:1:36,0.018726349,0.99253696,chromosome
efae-E0139,Contig_10_120.595:3p:1:38,0.007705273,0.9981006,chromosome
efae-E0139,Contig_10_120.595:3p:1:41,0.008502262,0.9979487,chromosome
efae-E0139,Contig_10_120.595:3p:1:44,0.0050196922,0.9960699,chromosome
efae-E0139,Contig_10_120.595:3p:1:45,0.0127590075,0.99470913,chromosome
efae-E0139,Contig_10_120.595:3p:1:46,0.00433361,0.99766684,chromosome
efae-E0139,Contig_10_120.595:3p:1:50,0.0135911675,0.9982948,chromosome
